property_name,link,society,price,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,rate,noOfFloor
"3 Bedroom House for sale in Sarjapur, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sarjapur-bangalore-east-1885-sq-ft-spid-Z87608204,Spring Luxury Villa,2.1 Crore,Plot area 1600(148.64 sq.m.)Built-up area: 1885 sqft (175.12 sq.m.),3 Bedrooms,3 Bathrooms,1 Balcony,Study Room,"Sarjapur, Bangalore",East,Within 6 months,"['Town Hospital', 'Ganesh Medicals', 'Atithi Sagar']","Location: Sarjapur
Size: 40 ft x 40 ft
Status: Under construction (Slab completed)Registration: Ready to registerThis plot comes with ongoing construction, making it ideal for buyers who want to step into a project thats already in progress. The slab is complete, ensuring a strong foundation for your future home or investment.Re-Finance support from lichfl is available.Contact: 
Call: 
Whatsapp: (If call is unanswered)",[],"['Private Garden / Terrace', 'Swimming Pool', 'Park', 'Bank Attached Property', 'Security Guard', 'Fitness Centre / GYM', 'Club house', 'Rain Water Harvesting']","['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area4.1 out of 5']",87608204,"₹13,125 /sqft",1 Floors
"5 Bedroom House for sale in Hunasamaranahalli, Bellari Road",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-hunasamaranahalli-bangalore-north-1200-sqft-spid-O87701642,"Hunasamaranahalli, Bellari Road, Bangalore North",1.68 Crore,Plot area 1200(111.48 sq.m.),5 Bedrooms,5 Bathrooms,3 Balconies,,"Hunasamaranahalli, Bellari Road",East,1 to 5 Year Old,"['Krishnadevaraya Hospital And Research Centre', 'Lakshmi Hospital', 'N.R.V Hospital', ""Happy Pearl's Dental Clinic"", 'Dr. Ashwin clinic', 'Sapthagiri Hospital', 'Seven Hills Clinic', 'Dentteq Dental Clinic', 'Sri Arogya Hospital', 'Valens Hospitals', 'Venkateshwara Clinic', 'Chirayu Clinic', 'iDentist Family Dental Care', 'Om Shakthi Hospital', 'Saranalaya Hospital', 'Ganga ENT Clinic', 'Saralaya Hospital', 'Nisarga Poly Clinic', 'Bhagini', 'Cafe Coffee Day', 'Adyar Ananda Bhavan', 'Brindavan College Bakery', 'Cafe Coffee Day Express', 'Brindavan College Canteen', 'Basketball Court', 'LAWNTENNIS COURT', 'Cricket Field', 'Football Ground', 'IS and CS block', 'Engineering Block', 'Bridavan College of Engineering', 'Brindavan College of Architecture', 'Betta halasuru railway station', 'RadCAM Technologies Pvt. Ltd', 'Rinac India limited']","Just beside dmart, from the airport mainraod lessthan 100 meters, upcoming metro is just nearby, surrounded by pgs and commercials, with three side open roads dead end property so plenty of free airflow sunlight good ventilation, 
Land marks like spinny lessthan 400 meters, amazon tech park is lesathan 3 kms, 50000 rental income house with cupboards, fans, geysers, cmc water and many more. Feel free call on 897 one 33 one 459","['6 Wardrobe', 'Fan', '1 Exhaust Fan', '4 Geyser', 'Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.9 out of 5', 'Green Area4.1 out of 5']",O87701642,"₹14,000 /sqft",3 Floors
"5 Bedroom House for sale in Harlur Road, Bangalore",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sjr-east-wood-harlur-road-bangalore-east-4000-sq-ft-spid-G87542046,SJR East Wood,8.75 Crore,Plot area 4208(390.94 sq.m.)Built-up area: 4000 sqft (371.61 sq.m.)Carpet area: 3700 sqft (343.74 sq.m.),5 Bedrooms,5 Bathrooms,3 Balconies,,"Harlur Road, Bangalore",West,10+ Year Old,"['Pelekamma Temple', 'State bank of india ATM', 'Raksha Orthopaedic And Multi Speciality Centre', 'Esthetix Orthodontic and Cosmetic Dental Clinic', 'The Smile Kraftz Speciality Clinic', 'Renuka Clinic', 'Sparsh Clinic', 'Alpha Clinics', 'Aria Clinic', 'Stanford Speciality Hospital', 'Harmony Wellness Concepts Center', 'Liss Medical and Dental Clinic', 'Mahaveer Orthopeadic Clinic', ""Your's pet"", 'Dr. Arpita Agarwal Clinic', 'Clinic', 'add-on Scans & Labs', 'Sai Clinic', 'Apollo Clinic', 'Banashankari Medicals', 'Ramdev Medicals', 'Krishna Medical & General Stores', 'Aria Pharma', 'Apollo Pharmacy', 'MedPlus Medical Center', 'Apollo Pharmacy', 'Icici bank', 'Hdfc bank', 'Andhra bank', 'Karnataka bank', 'Axis bank', 'Hdfc bank', 'Icici bank', 'Icici bank', 'Kotak mahindra bank', 'Amphitheatre', 'Amrutha multicuisine restaurant', ""Domino's Pizza"", 'Xtreme Sports Bar', 'Tap Out Pub', 'Dosa Time', 'Nandini', 'Juice', 'Chat & More', 'Aroi', 'Xplod resto bar', 'Chai World', 'Amrita School of Engineering', 'Vibgyor', 'Vidyarambh Play School']","Spanning 4208 sq.Ft., this 4 bhk independent villa inside an exclusive gated community , sjr eastwood, on harlur road offers 4bedrooms and 4 bathrooms across its spacious floors. Over 10 years old and fully furnished , its available for immediate sale. Close to key amenities like hospitals, an atm, and pelekamma temple, it combines comfort with convenience in bangalore east.","['1 Water Purifier', 'Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', 'Light', '2 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Security / Fire Alarm', 'Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Park', 'Security Guard', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house']","['Connectivity3.6 out of 5', 'Lifestyle3.8 out of 5', 'Safety3.8 out of 5', 'Green Area3.8 out of 5']",G87542046,"₹20,794 /sqft",2 Floors
"3 Bedroom House for sale in Old Airport Road, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-old-airport-road-bangalore-east-2100-sqft-spid-L87508108,"Old Airport Road, Bangalore, Bangalore East",5.57 Crore,Plot area 2100(195.1 sq.m.),3 Bedrooms,1 Bathroom,3 Balconies,,"Old Airport Road, Bangalore",South,10+ Year Old,"['Sri Ram Mandir', 'Mosque', 'Temple', 'Shri Mahavir Digambar Jain Temple', 'Sri Angala Parameshwari Temple', 'St Chapel', 'St Thomas Church', 'Shirdi Sai Temple', 'Shakti Vinayaka Temple', 'Sbi ATM', 'Vijaya bank ATM', 'Sbi ATM', 'Raju Health Centre', 'Arya Dental Care', 'SNP Homoeopathy Clinic', 'Dr. Harish Tyagi Clinic', 'Lifeline Polyclinic', 'SRK Dental Clinic', ""Jhon's Medical Hospital"", 'Bangalore Psoriasis Clinic', 'Samruddhi Health Care Centre', 'Nms Sanjivini Health Center', 'VHC International', 'APM Optics', 'Oral Health', 'Magdum Hospital', 'Dr Karan Kukreja Life Orthocare', 'Pandu Eye Clinic', 'Dr. K Monika Yadav Clinic', 'Dr. Hemant Agrawal', 'Kamath Dental Clinic', 'Marriage Hall', 'Dalit Youth Welfare Association', 'MedPlus', 'A Step Above', 'Ladder Preschool', 'Early Spring Daycare', 'Punjab national bank', 'Hdfc bank', 'Syndicate bank', 'Sathkar Cafe', 'Shri Sarathi Restaurant and Bar', 'China Village', 'Mandarin Hoysala Delux', 'Devi Darshini', 'Good Food', 'Sophie Nursery Primary and High School', 'Sanskrithi Foundation', 'Government Primary School', 'Orchids The International School - C V Raman Nagar']","We have a house/villa available for sale in airport road, bangalore north. Available at price of rs 7.5 crores. It has plot area of 2100 sq ft. It has 3 bhk, 1 bathroom, 3 balcony.It is a freehold property",[],"['Private Garden / Terrace', 'Water Storage', 'Visitor Parking']","['Connectivity4.4 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.3 out of 5', 'Green Area4.1 out of 5']",L87508108,"₹26,500 /sqft",2 Floors
"6 Bedroom House for sale in Chandapura, Bangalore",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-aashrithaa-bc-city-chandapura-bangalore-south-1296-sqft-spid-P87512656,Aashrithaa BC City,1.95 Crore,Plot area 1296(120.4 sq.m.),6 Bedrooms,6 Bathrooms,3 Balconies,,"Chandapura, Bangalore",,0 to 1 Year Old,"['Hanuman Temple', 'Goddess Temple', 'Ram Temple', 'London Hospital', 'Athreya Hospital Chandpura', 'Athreya Hospital', 'RMHC Homeopathy Clinic', 'Sri Swaranaamrutha Hospital', 'Jaya Krishna Clinic', 'Naryana Hrudalya', 'Balaji Clinic', 'E-City Allergy & Asthma Specialty Clinic', 'Global Speciality Hospital', 'Dr. Naveen S Tahasildar', 'Federal bank surya nagar', 'Hotel Sinchara Electronic City', 'Rddy Restaurent Electronic City', 'Hotel Sinchara', 'Sri Ragavendhra Upahar Electronic City', 'Adyar Ananda Bhavan', 'Bangalore College Of Engineering And Technology']","Gated community, near surya nagar face 1 , nearest metro station bommasandra, bengaluru",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4 out of 5', 'Green Area3.9 out of 5']",P87512656,"₹15,046 /sqft",4 Floors
"3 Bedroom House for sale in Amco Colony, Koti Hosahalli, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-amco-colony-bangalore-north-2600-sqft-spid-H87446194,"Amco Colony, Koti Hosahalli, Bangalore, Bangalore North",16 Crore,Plot area 5200(483.1 sq.m.)Built-up area: 2600 sqft (241.55 sq.m.),3 Bedrooms,3 Bathrooms,1 Balcony,,"Amco Colony, Koti Hosahalli, Bangalore",North,10+ Year Old,"['Sree Mahaganapathi Temple', 'Anjaneya Hanuman Temple', 'Ganesha Temple', 'Union bank ATM', 'Icici bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Icici bank ATM', 'Dental Conceptz', 'Dental Concepts', 'North Side Hospital And Diagnostic Centre', 'Medical Center', 'Mediplus Medical Store', 'Apollo Pharmacy', 'Indian Oil', 'Uco bank', 'Indian bank', 'Allahabad bank', 'Canara bank', 'The janatha co-op bank ltd', 'Indusind bank', 'Icici bank', 'Naidu Bar and Restaurant', 'Iyengar Bakery', 'Ranganatha Bar and Restaurant', 'Indira Canteen', 'Cafe Natural', 'Cafe Naturals', 'Cafe Naturals', 'Naksha Greens Juice and Snack Bar', 'Knopcha', 'Adigas', 'Hyderabad Biryani', 'Lavazza', 'Freska', 'Breadworks', 'Nila Food Corner', 'Trupti Thindi', 'New Kritunga Restaurant', ""Domino's Pizza"", 'New Shanti Sagar', 'Watsons', 'Svensens Icrecream', 'Bigstraw Blast', 'Vyasa International School', 'Cauvery School', 'Oi Playschool', 'Brindavan College', 'Orchids The International School Vivekananda - SahakarNagar', 'Nathaniel School of Music']","Rare 5,200 sq. Ft. Triple-Frontage north-Facing bungalow estate in amco colony (Kodigehalli main road), north bengaluru.Discover an oasis of old-World charm and massive redevelopment potential. Set on a sprawling 5,200 sq. Ft. Plot (65x80), this unique estate features a roman-Style sloping roof bungalow surrounded by a lush, mature garden. Uniquely positioned with roads on three sides, the property offers unparalleled ventilation, privacy, and architectural flexibility.Minutes from sahakar nagar, phoenix mall of asia, and the airport road (Nh-44). Located in the peaceful, tree-Lined amco colony, offering a quiet retreat while remaining central to north bengalurus booming tech and retail hubs. The 3-Side road (North, west, and south) access provides the ultimate ""blank canvas"" for a luxury villa enclave, a high-End residential project, or commercial ventures.","['3 Bed', '3 Geyser', '2 AC', 'No Chimney', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Water Storage']","['Connectivity3.8 out of 5', 'Lifestyle4 out of 5', 'Safety3.8 out of 5', 'Green Area3.9 out of 5']",H87446194,"₹30,769 /sqft",2 Floors
"2 Bedroom House for sale in Mariyappana Palya, Mysore Road",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-mariyappana-palya-bangalore-west-1200-sqft-spid-J87490070,"Mariyappana Palya, Mysore Road, Bangalore West",1.85 Crore,Plot area 1200(111.48 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,Pooja Room,"Mariyappana Palya, Mysore Road",East,5 to 10 Year Old,"['Jnana bharathi metro station', 'Muneshwara Temple', 'Shri Laxmi Narasimha Swamy Temple', 'Mata Amritanandamayi Math', 'Vinayaka Temple', 'Hatti Lakkamma Temple', 'Uco bank ATM', 'Oriental bank of commerce ATM', 'State bank of india ATM', 'Icici bank ATM', 'Abhay Hospital', 'Sankalpa Hospital', 'Sree Ranga Hospital', 'Vijaya Hospital Bengaluru Urban', 'Nanjundeshwara Dental Clinic', 'MEDSOL Hospital', 'Dr. Reddy ENT Care Centre', 'Manjunatha Dental clinic', 'Abivrud Cancer Care & Research Centre', 'Ideal Health Care Centre', 'Dr. Mahesh Clinic', 'Chandana Hospital', 'Noble Dental Care', 'Panacea Hospital Nagarabhavi', 'Cosmic Health Centre', 'Ageis auto testng', 'Petrol Station', 'Petro Gas Station', 'Go Gas', 'Hindustan Petroleum', 'State bank of india', 'University Cafeteria', 'Swathi Restaurant', 'Mane Upahara', 'Hotel Dream Land', 'Brew Kings', 'Nammura Tindi', 'Ron-Inn Bar & Restaurant', 'Sri Krishna Nandagokula Veg', 'Rolls Rice Cafe', 'Bangalore University', 'Department of Geology', ""Vice Chancellor's Lodge"", ""St. Anthony's PU College"", 'Dr. Ambedkar Institute of Technology', 'Gnana Bodhini Primary School', 'Orchids The International School Mysore Road', 'Sifang India Pvt. Ltd.', 'Texport Garments']","House for sale, 30*40 south facing site bbmp 'b' khata ,ground, first and second floor each having 2 bhk house(All east facing doors) at jnanabharthi, mariyappana palya bangalore having 25 feet road. Interetsed pls contact manjunathClose to bangalore university. 1 km from jnanabharati metro, close to ring road and mysore road","['3 Wardrobe', 'Fan', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Rain Water Harvesting']","['Connectivity3.7 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.8 out of 5', 'Green Area3.9 out of 5']",J87490070,"₹15,417 /sqft",3 Floors
"5 Bedroom House for sale in Harappanahalli, Anekal",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-nirman-nisarga-layout-harappanahalli-bangalore-south-3300-sq-ft-spid-N87635728,Nirman Nisarga Layout,2.25 Crore,Plot area 1200(111.48 sq.m.)Built-up area: 3300 sqft (306.58 sq.m.),5 Bedrooms,3 Bathrooms,2 Balconies,,"Harappanahalli, Anekal",North,1 to 5 Year Old,[],"This is located in nisarga layout, very well designed with ample light and ventilation. Two sides are open. It has 5 rooms ( One sport/home theatre, one office room) also there a wooden room for study). The house has all quality fitting and fixtures, namely wood colour fenesta windows, legrand switches, nexion 8*4 tiles, italian marbles, wood work of highest quality, interior designed by well known designer, separate extra kitchen at the top, wooden and gypsum false ceiling, 11ft ceiling height . It is inside a very well known society called nisarga layout which has lot of greenery. All the working provisions for dishwasher and washing machine. You can easily park two cars inside and one outside. Water harvesting is done. Sump capacity 8000 + 2000 l.","['6 Wardrobe', '1 Water Purifier', 'Fan', '1 Dining Table', '1 Geyser', 'Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Vaastu Compliant', 'Water Storage', 'Park', 'Visitor Parking', 'Rain Water Harvesting']","['Connectivity3.9 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.8 out of 5', 'Green Area3.8 out of 5']",N87635728,"₹18,750 /sqft",3 Floors
"3 Bedroom House for sale in Mukkutam Nagar, Ramamurthy Nagar",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-mukkutam-nagar-bangalore-east-1800-sqft-spid-P87405768,"Mukkutam Nagar, Ramamurthy Nagar, Bangalore East",2.97 Crore,Plot area 1800(167.23 sq.m.),3 Bedrooms,2 Bathrooms,No Balcony,,"Mukkutam Nagar, Ramamurthy Nagar",West,10+ Year Old,"['Shani Temple', 'Temple', 'Ganesha temple', 'Sri Muneshwara Temple', 'Kashi Vishalakshi Temple', 'Chowdeshwari Temple B Channasandra Banasawadi', 'Om Shakti Temple', 'Sri Valampuri Vinayagar Temple', 'Ayur Vaid Hospital', 'Ayurseva Hospital', 'Sri Sai Eye Hospital', ""Dr. Shetty's Dental"", 'Aesthetic Dental Care', 'Charan Homeopathy Ramamurthy Nagar', 'Dr. Syeds Dental Care', 'Manipal Poly Clinic And Nursing Home', 'Manipal Polyclinic and Nursing Home', 'Asha Nursing Home', 'Dr. Murthy Ayurved Clinic', 'M J Child Clinic', 'Super Specialty Eye Hospital', 'Srivijaya Speciality Hospital', 'Chaya Super Speciality Hospital', 'Ashwini Clinic', ""Shanthi Women's Healthcare Centre"", 'Spandana Hospital And Medical Centre', 'Skin Remediez', 'MedPlus', 'IBP Petrol Pump', 'Bharat Petrol Pump', 'Indianoil', 'Shell Petrol Bunk', 'Andhra bank', 'Kaveri grameena bank', 'State bank of india', 'Axis bank', 'Shree Lakshmi Theater', 'Savi Ruchi', ""Domino's Pizza"", 'Uttam Sagar', 'Tamarind', 'New Udipi Park', 'Hotel Nanda Gokula', 'Cafe Coffee Day', 'Narayana etechno school', 'Manu Kannada School', ""Sri Kumaran's English School"", 'New Baldwins School', 'New Baldwins School', 'Channasandra railway station']","This is a old an independent building located near ramamurthy nagar main road, next to hotel the shack on 1st cross. The price is slightly negotiable for serious buyers. If youre genuinely interested in purchasing, please feel free to contact me.",[],['Water Storage'],[],P87405768,"₹16,500 /sqft",1 Floors
"5 Bedroom House for sale in Bidaraguppe, Bangalore South",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sowparnika-life-on-the-green-bidaraguppe-bangalore-south-2170-sqft-spid-G87338574,Sowparnika Life On The Green,2.35 Crore,Plot area 1200(111.48 sq.m.)Built-up area: 2170 sqft (201.6 sq.m.),5 Bedrooms,5 Bathrooms,3 Balconies,"Study Room,Others,Pooja Room","Bidaraguppe, Bangalore South",West,Within 6 months,"['Harvest International School', 'Azim Premji University', 'Ramee Guestline Hotel', 'Clover Greens Golf Course', 'Kalppa Virusha Hospital', 'Natura Walk Mall', 'Heelalige Railway Station', 'Kempegowda International Airport', 'National Highway 948A', 'Tiny Tots Day Care']","Get this 5+ bhk for sale in bidaraguppe village now, you save lakhs on brokerage! This west facing home is over 2170 sqft. & is in a convenient location. You get ample & dedicated parking space for a car and bike with this home. With premium amenities such as fire fighting equipment & waste treatment plant this home provides you with many added benefits. When you need a club house, kids play area, gym, park & swimming pool for relaxation, all you have to do is step out of the door as the villa complex has what you're looking for.Rera possession date - Apr 2026 this 5 bhk in life on the green is a haven, a verdant oasis where nature and modern amenities exist in harmony, allowing us to rekindle our connection with our origins and luxuriate in an unparalleled state of equanimity here, amidst the serene society, you'll find a deep connection to this 5 bhk for sale which comes with an affordable price tag of just 2.35 crores rupees with an additional perk of paying no brokerage.Indus international school bangalore, brs global school - Cbse school - Sarjapur attibele road and attibele public school are well known educational institutes in town & are very close to this home. Being situated near apollo pharmacy, hospital and srl diagnostic home collection, emergency care is very easily available at any time.",[],[],[],G87338574,"₹19,583 /sqft",3 Floors
"10 Bedroom House for sale in Ramakrishnappa Layout, Bellari Road",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-ramakrishnappa-layout-bangalore-north-1305-sqft-spid-P87147742,"Ramakrishnappa Layout, Bellari Road, Bangalore North",3.5 Crore,Plot area 1305(121.24 sq.m.),10 Bedrooms,10 Bathrooms,3+ Balconies,,"Ramakrishnappa Layout, Bellari Road",,1 to 5 Year Old,"['Muthuraiswamy Ayappa Temple', 'Citibank ATM', 'Hdfc bank ATM', 'Citibank ATM', 'Mamta Hospital Bengaluru Rural', 'S. J. Hospital', 'Ayush Ayurvedic', 'Shirdi Sai Hospital', 'Guru Kripa Clinic', 'Clove Dental', 'RMV Hospital', 'Chikkamaranahalli', 'Indian Oil', 'State bank of india', 'Bank of baroda', 'Karnataka bank', 'Axis bank', 'Vijaya bank', 'Punjab national bank', 'State bank of india', 'Indusland bank', 'Ing vysya bank', 'Lakshmi Tent', 'RMV Club', 'RMV Club', 'Brindavan Vaibhav', 'Athithi', 'Ibaco', 'Chicken County', 'Dominos Pizza', 'Kanti Sweets', 'Akshaya Deluxe', 'Shanthi Sagar', 'Indira Canteen', 'Via Lucknow', 'Iyengar Bakery', 'Hunan Chinese Restaurant', 'U4IA', 'Burp', 'Beijing Bites', 'Nandini Palace', 'Down bekary', 'Food Bay', 'KFC', 'Frozen Bottle', 'Brindavan College', 'Vyasa International School', 'Lotte gollahalli railway station', 'Globals', 'Akasmika']","An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in , ramakrishnappa layout, bangalore which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfort.Basic details:
You will love this villa which is constructed on a built up area of of 1305 sq.Ft. And features 10 bedrooms, 10 bathroom and 4 balcony and a modular kitchen. The villa is beautifully landscaped with garden.Location:
The property is close to all basic facilities. The villa is situated in a family friendly neighborhood. Moreover, the property has great connectivity with other parts of the city.-Major banks and atms located within a close radius
-Several schools located within proximity
-Easy access to public transportWait no more and schedule a visit today.
For more information, kindly contact the owner.","['8 Wardrobe', 'Fan', '10 Geyser', 'Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity3.9 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.9 out of 5', 'Green Area3.8 out of 5']",P87147742,"₹26,820 /sqft",4 Floors
"4 Bedroom House for sale in Mathikere, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-mathikere-bangalore-north-1120-sqft-spid-X87235688,"Mathikere, Bangalore, Bangalore North",1.95 Crore,Built-up area: 1120 (104.05 sq.m.),4 Bedrooms,2 Bathrooms,1 Balcony,,"Devasandra, Mathikere, Bangalore, Mathikere, Bangalore",,10+ Year Old,"['Shiva Temple', 'Muthuraiswamy Ayappa Temple', 'Raghavendra Temple', 'Panchamukha Ganesh Temple', 'Subramanya Swami Temple', 'Ganesha Temple', 'Athumanesar church', 'Mathikere Masjid', 'Jamundeshwari temple', 'Sbi state bank of india ATM', 'Icici ATM', 'Prasad Clinic Vaishali', 'Aradhana Netra Mandira', 'Sumathi Nursing and Maternity Home', 'Sri Sai Krupa Hospital Bengaluru Urban', 'Mathrushree Nethralaya', 'Shirdi Sai Hospital', 'Sun Orthopaedic center', 'Guru Kripa Clinic', 'Dr Shah Clinic', 'Ramdev Medical', 'Sri Ganesh Medical', 'OM Shakthi Medicals & General Stores', 'NIAS', 'Chikkamaranahalli', 'Karnataka bank', 'Vijaya bank', 'Andhra bank', 'Bank of baroda', 'Lakshmi Tent', 'JRD Tata Auditorium', ""Domino's Pizza"", 'Mirchi', 'New Sagar', 'Freedom Cafe', 'Chandrappa Hotel', 'Down bekary', 'NIAS Main Eating Point', 'Deccan House', 'Thanco', 'Akshaya Deluxe', 'Shanthi Sagar', 'Via Lucknow', 'Dominos Pizza', 'Chicken County', 'Kanti Sweets', 'Ibaco', 'M S Ramaiah Food Court', 'National Institute of Advanced Studies - NIAS', 'Edcite']","Check out this 1 bhk house for sale in mathikere, a popular residential locality that contains many of the in-Demand properties in bangalore north. Containing 1 bedroom, 1 bathroom , this independent house is spread over a built up area of 1120 sq.Ft. Being a ready to move house, you can expect immediate possession of this 0-1 year old property. The nature of ownership of this independent house is freehold. The property is available for sale at a competitive price of 2 crore.","['Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.1 out of 5', 'Green Area4.1 out of 5']",X87235688,"₹17,411 /sqft",1 Floors
"4 Bedroom House for sale in Mathikere Extension, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-mathikere-extension-bangalore-north-1120-sqft-spid-I87173724,"Mathikere Extension, Bangalore, Bangalore North",2 Crore,Plot area 1120(104.05 sq.m.),4 Bedrooms,2 Bathrooms,1 Balcony,,"Mathikere Extension, Bangalore",,10+ Year Old,"['Shiva Temple', 'Muthuraiswamy Ayappa Temple', 'Athumanesar church', 'Mathikere Masjid', 'Raghavendra Temple', 'Subramanya Swami Temple', 'Ganesha Temple', 'Panchamukha Ganesh Temple', 'Icici ATM', 'Sbi state bank of india ATM', 'Prasad Clinic Vaishali', 'Aradhana Netra Mandira', 'Sumathi Nursing and Maternity Home', 'Shirdi Sai Hospital', 'Mathrushree Nethralaya', 'Sri Sai Krupa Hospital Bengaluru Urban', 'Sun Orthopaedic center', 'Guru Kripa Clinic', 'Ramdev Medical', 'Dr Shah Clinic', 'Sri Ganesh Medical', 'OM Shakthi Medicals & General Stores', 'NIAS', 'Chikkamaranahalli', 'Lakshmi Tent', 'JRD Tata Auditorium', 'Karnataka bank', 'Bank of baroda', 'Vijaya bank', 'Union bank of india', 'Vijaya bank - gokula', 'Andhra bank', 'Down bekary', 'Mirchi', ""Domino's Pizza"", 'New Sagar', 'Freedom Cafe', 'Akshaya Deluxe', 'Kanti Sweets', 'Shanthi Sagar', 'Chandrappa Hotel', 'Via Lucknow', 'Dominos Pizza', 'Chicken County', 'Ibaco', 'Lassi Shop', 'NIAS Main Eating Point', 'Deccan House', 'National Institute of Advanced Studies - NIAS', 'Edcite']","Duplex house with 2 bhk ground floor, 2bhk first floor. 1 bhk house behind. Total 1120 squar feet.","['Fan', 'Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],"['Connectivity4.4 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.2 out of 5', 'Green Area3.9 out of 5']",I87173724,"₹17,857 /sqft",1 Floors
