property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
"3 BHK Flat in Bileshivale, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bileshivale-bangalore-north-1365-sqft-spid-K90693872,"Lakedew compound,near Brigade",86 Lac,"₹6,300 /sqft",Carpet area: 1365 (126.81 sq.m.)  sqft,3 Bedrooms,2 Bathrooms,2 Balconies,,"Bileshivale, Bangalore",Ground of 13 Floors,,5 to 10 Year Old,"['Philadelphia AG Church', 'Malankara Orthodox Syrian Church - Bangalore Diocesan Centre', 'Emmanuel Marthoma Church', 'Sri Gavreyanna Sidheshwara Swamy Temple', 'Ayappa Temple', 'Bhakthanjeneya Temple', 'Blessing Worship Center', 'Kothanur CSI Church', 'Hanuman', 'Shiva', 'Medi Derma Hospital', 'Bhagat Dental Clinic', 'Asesh Dental Clinic', 'Bhagat Dental Clinic', 'Veterinary Hospital', 'Eshawar HospItal', 'R K Polyclinic', 'Shivagami Medicals and General Shop', 'Shri Vishnu', 'Chandru Medicals and General Stores', 'Indian overseas bank', 'Icici bank', 'State bank of india', 'Sash Cafe', 'Straight Up', 'Taawoon', 'Starbucks', 'Cafe Coffee Day', 'Luqma', 'Jiffy Cafe', ""Mom's Kitchen - Tanang Naga"", '3 Ediots', 'Roti Land Family Dhaba', 'L.B.S. School', 'Alpha College of Engineering', 'Alpha College of Engineering', 'Vijaya Vittala Institute of Technology', 'Orchids The International School - Horamavu', 'Teresa Bacq School']","Property is b katha, e -Katha is done. Ready to move property. Amenities: Gym, party hall, garden, car parking","['Fan', '1 Dining Table', '1 Geyser', 'Light', '1 TV', '2 AC', '1 Chimney', '1 Modular Kitchen', '2 Bed', '2 Wardrobe', '1 Sofa', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'Visitor Parking']","['Connectivity3.6 out of 5', 'Lifestyle3.6 out of 5', 'Safety3.7 out of 5', 'Green Area3.7 out of 5']",K90693872
Elegant Aura,https://www.99acres.com/elegant-aura-thanisandra-bangalore-north-npxid-r439436,Elegant Aura,,,,,,,,,,,,[],"Finest 2,3 BHK apartments in Thanisandra available for sale in Elegant Aura. Apartments in this complex are available in price range of Rs. 1.17 - 1.75 Cr. Here units have different sizes, mostly in range of 1,166 - 1,679 sqft SUPER area. The housing society is RERA-registered with PRM/KA/RERA/1251/309/PR/100125/007379 registration number",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",439436
"3 BHK Flat in 4th Block Koramangala, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-4th-block-koramangala-bangalore-south-2150-sq-ft-spid-P90457936,Brigade greens,3.5 Crore,"₹16,279 /sqft",Carpet area: 2150 (199.74 sq.m.)  sqft,3 Bedrooms,3 Bathrooms,2 Balconies,"Pooja Room,Study Room,Store Room","4th Block Koramangala, Bangalore",4th   of 4 Floors,North,Within 3 months,"['Kormangala Methodist Church', 'Balasubramania Swamy Temple', 'Hdfc ATM', 'Vijaya bank ATM', 'Indian bank ATM', 'Icici bank ATM', 'Fj Merrit Hydrotherapy And Wellness', 'Magnus Diagnostic Lab', 'Shiva Vision Care', 'Medplus Pharmacy', 'Kiran Medical Store', 'Maxwell Pharma', 'Ajit Medicals', 'Trustx', 'HP Petrol Pump', 'Andhra bank', 'Hdfc bank 4th block', 'Axis bank atm', 'Yes bank', 'Dhanalakshmi bank', 'Saraswat bank', 'Karur vysya bank', 'Axis bank', 'Allahabad bank', 'Idbi bank', 'Hdfc bank', 'BSR Lassi Packers Shop', 'Barista', 'Rendezvous', 'Maharaja Restaurant', '1522', 'Third Wave Coffee Roasters', 'Nasi and Mee Asian Canteen', 'Barbeque Factory', 'Great Indian Thali', 'Dialogues Cafe', 'B52 Bar', 'Ambrosia restaurant', 'The Tiffin Express', 'Kota Kachori', 'Via Milano', ""Myu Bar at Gilly's Redefined"", 'Fandom Gillys Redefined', 'Imperial Hotel', 'Over The Top', 'Tamrind Restaurant', 'Brooks and Bonds Brewery', 'Chinmaya Vidyalaya Koramangala', 'GLPS Mestri Palya', 'BrillMindz- Mobile App Development Company in Bangalore']","Residential apartment
This is your chance to a 3 bhk apartment / flat for sale in 4th block koramangala bangalore . Where luxury comes with affordability.Basic details:
You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies.The b...","['3 Bed', '1 Wardrobe', 'Fan', '1 Geyser', 'Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Corner Property', 'Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Guard', 'Low Density Society', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house']","['Connectivity4.4 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",P90457936
Mahindra Eden,https://www.99acres.com/mahindra-eden-vajarahalli-bangalore-south-npxid-r388834,Mahindra Eden,,,,,,,,,,,,[],"Spacious 1,2,3 BHK apartments in Vajarahalli are available for sale.Check out latest property options at Mahindra Eden housing society. Prices of apartments in this project, vary between Rs. 86 L - 3.3 Cr. Mahindra Eden has apartments in multiple configurations, in range of 400 - 1,289 sqft. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/300322/004794 registration number",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",388834
Sobha City Athena,https://www.99acres.com/sobha-city-athena-chokkanahalli-bangalore-north-npxid-r367011,Sobha City Athena,,,,,,,,,,,,[],,[],[],"['Connectivity4 out of 5', 'Lifestyle3.7 out of 5', 'Safety3.6 out of 5', 'Green Area3.4 out of 5']",367011
TVS Isle of Trees,https://www.99acres.com/tvs-isle-of-trees-hebbal-bangalore-north-npxid-r429968,TVS Isle of Trees,,,,,,,,,,,,[],"Spacious 3,4 BHK apartments in Hebbal are available for sale.Check out latest property options at TVS Isle of Trees housing society. Here units have different sizes, mostly in range of 1,500 - 2,379 sqft SUPER area. Apartment prices in this housing society vary in the range of Rs. 2.1 - 3.33 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/150724/006941 registration number",[],[],[],429968
Embassy Lake Terraces,https://www.99acres.com/embassy-lake-terraces-hebbal-kempapura-bangalore-north-npxid-r8574,Embassy Lake Terraces,,,,,,,,,,,,[],"Choose your dream home from the wide variety of 3,4,5 BHK apartments in Hebbal Kempapura, available for sale in Embassy Lake Terraces. Apartments in Embassy Lake Terraces have CARPET area ranging between 3,500 - 8,902 sqft. Apartment prices in this housing society vary in the range of Rs. 4.9 - 12.46 Cr. This society is RERA approved and PRM/KA/RERA/1251/309/PR/171016/000602 is the RERA number",[],[],[],8574
DS MAX SkyShlokam,https://www.99acres.com/ds-max-skyshlokam-yerthiganahalli-bangalore-north-npxid-r438335,DS MAX SkyShlokam,,,,,,,,,,,,[],"Here are beautifully built 2,3 BHK apartments in Yerthiganahalli, available for sale at DS MAX SkyShlokam. Apartments in DS MAX SkyShlokam have SUPER area ranging between 1,056 - 1,537 sqft. Apartments in this complex are available in price range of Rs. 79.2 L - 1.09 Cr. DS MAX SkyShlokam 's RERA registration number is PRM/KA/RERA/1251/472/PR/250225/007524",[],[],[],438335
Mahendra Arto Helix,https://www.99acres.com/mahendra-arto-helix-bommasandra-bangalore-south-npxid-r413679,Mahendra Arto Helix,,,,,,,,,,,,[],"Mahendra Arto Helix, one of the known housing societes in Bangalore South, brings classic yet modern 2,3 BHK apartments in Bommasandra. This society offers apartments in the price range of Rs. 1.26 - 2.06 Cr. Mahendra Arto Helix 's RERA registration number is PRM/KA/RERA/1251/308/PR/270723/006099. Mahendra Arto Helix apartments are available in multiples sizes, ranging from 717 - 1,129 sqft CARPET area",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4 out of 5', 'Green Area4 out of 5']",413679
Prestige Park Square,https://www.99acres.com/prestige-park-square-basavanapura-bangalore-south-npxid-r299041,Prestige Park Square,,,,,,,,,,,,[],"Looking for your dream home? Explore 2,3 BHK apartments in Basavanapura, now available in Prestige Park Square. Apartments in Prestige Park Square have SUPER area ranging between 1,115 - 1,855 sqft. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/180313/002634 registration number. This society offers apartments in the price range of Rs. 1.46 - 2.43 Cr",[],[],"['Construction3.7 out of 5', 'Amenities3.9 out of 5', 'Management4 out of 5', 'Connectivity4.1 out of 5', 'Green Area3.9 out of 5']",299041
Assetz Canvas and Cove,https://www.99acres.com/assetz-canvas-and-cove-begur-bangalore-south-npxid-r367669,Assetz Canvas and Cove,,,,,,,,,,,,[],"Assetz Canvas and Cove, one of the known housing societes in Bangalore South, brings classic yet modern 3 BHK apartments in Begur. Assetz Canvas and Cove 's RERA registration number is PRM/KA/RERA/1251/310/PR/200702/003480. Apartments in Assetz Canvas and Cove have SUPER area ranging between 1,501 - 2,345 sqft. Prices of apartments in this project, vary between Rs. 1.75 - 4.24 Cr",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.3 out of 5', 'Green Area4.2 out of 5']",367669
Ajmera Marina,https://www.99acres.com/ajmera-marina-kempanahalli-bangalore-north-npxid-r437357,Ajmera Marina,,,,,,,,,,,,[],"Ajmera Marina society now offers elegantly built 2,3 BHK apartments in Kempanahalli. Apartments in this complex are available in price range of Rs. 1.22 - 1.62 Cr. Ajmera Marina apartments are available in multiples sizes, ranging from 1,200 - 1,600 sqft SUPER area. Ajmera Marina is a RERA- registered society and PRM/KA/RERA/1251/309/PR/310125/007461 is the RERA registration number",[],[],[],437357
TG Heritage,https://www.99acres.com/tg-heritage-kanakapura-road-bangalore-south-npxid-r403600,TG Heritage,,,,,,,,,,,,[],"Check out 2,3 BHK apartments in Kanakapura Road, now available for sale at TG Heritage. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/160123/005621 registration number. Apartment prices in this housing society vary in the range of Rs. 85.6 L - 1.2 Cr. Apartments in TG Heritage have CARPET area ranging between 755 - 1,062 sqft",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.2 out of 5']",403600
Sumuk Square Phase 2,https://www.99acres.com/sumuk-square-phase-2-yelahanka-bangalore-north-npxid-r410150,Sumuk Square Phase 2,,,,,,,,,,,,[],"Spacious 2,3 BHK apartments in Yelahanka are available for sale.Check out latest property options at Sumuk Square Phase 2 housing society. The housing society is RERA-registered with PRM/KA/RERA/1251/472/PR/070323/005769 registration number. Sumuk Square Phase 2 apartments are available in multiples sizes, ranging from 1,166 - 1,707 sqft SUPER area. This society offers apartments in the price range of Rs. 87.45 L - 1.28 Cr",[],[],[],410150
"2 BHK Flat in Devanahalli, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sattva-aeropolis-devanahalli-bangalore-north-938-sqft-spid-U89201063,Sattva Aeropolis,1.07 Crore,"₹17,833 /sqft",Super Built-up area 938(87.14 sq.m.)Carpet area: 600 sqft (55.74 sq.m.)  sqft,2 Bedrooms,2 Bathrooms,1 Balcony,,"1102, Devanahalli, Bangalore",11st   of 14 Floors,East,Within 3 months,"['NH 44', 'MVM School', 'Prestige Tech Cloud', 'Kempegowda Railway Stn', 'Club Cabana Amusement Park', 'Kempegowda International Airport', 'Taj Bangalore', 'Akash Super Speciality Hospital', 'Chanakya University']","Premium 2bhk | 2bhk+2t | ready possession
3.4 km from blr airport - Perfect for professionals
Highlights:
- High floor with unobstructed airport views
- Covered car parking included
- World-Class amenities: Pool, gym, sports facilities
- Immediate possession - May 2026
- Blank canvas for your dream ...",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area4.2 out of 5']",U89201063
Godrej Park Retreat,https://www.99acres.com/godrej-park-retreat-sarjapur-road-bangalore-east-npxid-r384290,Godrej Park Retreat,,,,,,,,,,,,[],"Godrej Park Retreat, one of the known housing societes in Bangalore East, brings classic yet modern 2,3,4 BHK apartments in Sarjapur Road. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/280222/004736 registration number. Here units have different sizes, mostly in range of 1,200 - 2,700 sqft SUPER area. Prices of apartments in this project, vary between Rs. 1.4 - 3.24 Cr",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4 out of 5']",384290
Provident Botanico,https://www.99acres.com/provident-botanico-soukya-road-bangalore-east-npxid-r424433,Provident Botanico,,,,,,,,,,,,[],"Provident Botanico society now offers elegantly built 2,3 BHK apartments in Soukya Road. This society offers apartments in the price range of Rs. 1.15 - 1.75 Cr. Here units have different sizes, mostly in range of 658 - 1,003 sqft CARPET area. The housing society is RERA-registered with PRM/KA/RERA/1250/304/PR/210324/006726 registration number",[],[],"['Connectivity3.6 out of 5', 'Lifestyle3.6 out of 5', 'Safety3.5 out of 5', 'Green Area3.7 out of 5']",424433
"3 BHK Flat in Harlur Road, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-harlur-road-bangalore-east-1470-sqft-spid-B90645690,Shriram Chirping Woods,2.55 Crore,"₹17,346 /sqft",Super Built-up area 1470(136.57 sq.m.)Built-up area: 1144 sqft (106.28 sq.m.)Carpet area: 1000 sqft (92.9 sq.m.)  sqft,3 Bedrooms,2 Bathrooms,1 Balcony,,"Harlur Road, Bangalore",18th   of 19 Floors,North-East,5 to 10 Year Old,"['State bank of india ATM', 'Citibank ATM', 'Mahaveer Orthopeadic Clinic', 'Aria Clinic', 'Dr. Arpita Agarwal Clinic', 'Sparsh Clinic', 'Alpha Clinics', 'Raksha Orthopaedic And Multi Speciality Centre', 'Stanford Speciality Hospital', 'The Smile Kraftz Speciality Clinic', 'Addresshealth Child Health Clinic', 'Dr Rachna - Homeopathy', 'Nurture IVF', 'Sri Sai Dental & Medical Care', 'Clinic', 'Ittina Welness', 'Apollo Pharmacy', 'Aria Pharma', 'Krishna Medical & General Stores', 'Ramdev Medicals', 'Banashankari Medicals', 'Amphitheatre', 'Axis bank', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'Andhra bank', 'Karnataka bank', 'Icici bank', 'Icici bank', 'State bank of india', 'Tap Out Pub', 'Amrutha multicuisine restaurant', 'Xtreme Sports Bar', 'Subway', 'KFC', 'Nayi Dilli', 'Purani Dilli', 'Dosa Time', 'Juice', 'Nandini', 'Chat & More', 'Aroi', 'Beijing Bites', 'Cafe Coffee Day', 'Moritz', 'Shristi Montessari', 'Podar Happy Kids', 'Vidyarambh Play School', 'Uber']","3 bhk apartment for sale north-East facing | ready to moveBuilt-Up area: 1144 sq. Ft.
Configuration: 3 bedrooms, 2 bathrooms, 1 balcony
Floor: 18th floor of a 19-Storey building
Property age: 7 years
Status: Ready to moveFurnishing:
Available as semi-Furnished or fully furnished (Price varies ba...","['2 Wardrobe', '1 Water Purifier', 'Fan', '2 Geyser', 'Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Private Garden', 'Security / Fire Alarm', 'Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Guard', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house']","['Connectivity3.6 out of 5', 'Lifestyle3.8 out of 5', 'Safety3.8 out of 5', 'Green Area3.8 out of 5']",B90645690
Adarsh Palm Retreat,https://www.99acres.com/adarsh-palm-retreat-bellandur-bangalore-east-npxid-r15248,Adarsh Palm Retreat,,,,,,,,,,,,[],"Check out 2,3,4 BHK apartments in Bellandur, now available for sale at Adarsh Palm Retreat. Adarsh Palm Retreat 's RERA registration number is PRM/KA/RERA/1251/446/PR/170915/000481. Apartment prices in this housing society vary in the range of Rs. 2.2 - 7 Cr. Apartments in Adarsh Palm Retreat have SUPER area ranging between 1,100 - 5,270 sqft",[],[],"['Construction3.7 out of 5', 'Amenities3.8 out of 5', 'Management3.5 out of 5', 'Connectivity4.2 out of 5', 'Green Area3.5 out of 5']",15248
Assetz Ren and Rei,https://www.99acres.com/assetz-ren-and-rei-hosa-road-bangalore-south-npxid-r435906,Assetz Ren and Rei,,,,,,,,,,,,[],"Assetz Ren and Rei society now offers elegantly built 3 BHK apartments in Hosa Road. This society is RERA approved and PRM/KA/RERA/1251/446/PR/130225/007501 is the RERA number. This society offers apartments in the price range of Rs. 1.84 - 1.87 Cr. Assetz Ren and Rei has apartments in multiple configurations, in range of 1,796 - 1,821 sqft",[],[],[],435906
"3 BHK Flat in Green Glen Layout, Bellandur",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-aquamarine-green-glen-layout-bangalore-east-1529-sqft-spid-P90784050,Sobha Aquamarine,₹2.9 Cr,"₹18,966 /sqft","1,529 sqft",,,,,,,,Ready To Move,[],"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in sobha aquamarine green glen layout bellandur . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides a...",[],[],[],P90784050
Raja Platino,https://www.99acres.com/raja-platino-bannerghatta-road-bangalore-south-npxid-r457440,Raja Platino,,,,,,,,,,,,[],"Finest 2,3 BHK apartments in Bannerghatta Road available for sale in Raja Platino. Apartments in Raja Platino have SUPER area ranging between 1,074 - 1,654 sqft. This society is RERA approved and PRM/KA/RERA/1251/310/PR/291125/008288 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 1.07 - 1.88 Cr",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Green Area4.2 out of 5']",457440
Amogaya Adorit,https://www.99acres.com/amogaya-adorit-old-madras-road-bangalore-east-npxid-r430896,Amogaya Adorit,,,,,,,,,,,,[],"Beautiful 3 BHK apartments in Old Madras Road, are now available in Amogaya Adorit housing project. Here units have different sizes, mostly in range of 1,284 - 1,803 sqft SUPER area. This society offers apartments in the price range of Rs. 1.36 - 1.91 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/230425/007689 registration number",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area4 out of 5']",430896
"2 BHK Flat in Bagalur, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-brigade-el-dorado-bagalur-bangalore-north-938-sq-ft-spid-R85551104,Brigade El Dorado,96 Lac,"₹10,234 /sqft",Super Built-up area 938(87.14 sq.m.)Carpet area: 554 sqft (51.47 sq.m.)  sqft,2 Bedrooms,2 Bathrooms,1 Balcony,,"911, Bagalur, Bangalore",9th   of 21 Floors,West,Dec 2026,"['St. Francis School', 'Bhartiya Mall Of Bengaluru', 'Dodjala Railway Station', 'State Highway 104', 'CMR University', 'NRV Hospital', 'Kempegowda International Airport', 'Amada Business Centre', 'Taj Bangalore', 'Bachpan Play School']","Brigade el dorado is one of bangalore north's most sought after destination for apartments and this 2 bhk flat in bagalur is your opportunity to be a part of this community. This is a north-Facing property. The flat is over 938 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and ...",[],[],"['Construction3.7 out of 5', 'Amenities4 out of 5', 'Management3.6 out of 5', 'Connectivity3.7 out of 5', 'Green Area4 out of 5']",R85551104
Bren Zahara,https://www.99acres.com/bren-zahara-sarjapur-road-bangalore-east-npxid-r371535,Bren Zahara,,,,,,,,,,,,[],"Here are beautifully built 3 BHK apartments in Sarjapur Road, available for sale at Bren Zahara. Prices of apartments in this project, vary between Rs. 2.31 - 2.48 Cr. Apartments in Bren Zahara have CARPET area ranging between 1,224 - 1,314 sqft. Bren Zahara is a RERA- registered society and PRM/KA/RERA/1251/446/PR/201106/003684 is the RERA registration number",[],[],"['Construction3.6 out of 5', 'Amenities4 out of 5', 'Management3.6 out of 5', 'Connectivity4 out of 5', 'Green Area3.9 out of 5']",371535
"2 BHK Flat in Attibele, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shriram-107-southeast-attibele-bangalore-south-698-sqft-spid-O88269726,Shriram 107 Southeast,56 Lac,"₹8,452 /sqft",Super Built-up area 698(64.85 sq.m.)  sqft,2 Bedrooms,2 Bathrooms,1 Balcony,,"8-10-04, Attibele, Bangalore",10th   of 14 Floors,North,0 to 1 Year Old,"['Shree Pashwanath Sushil Dhaam', 'Shrinivasa Clinic', 'Sri Raghava Childrens And General Hospital', 'Sarathi Clinic', 'Aastha Hospital', 'Elite Hospital', 'N.R. Hospital', 'Shanvi Dental Clinic', 'Saraswathi Healthcare', 'Attibele']","This is your chance to a 2 bhk apartment / flat for sale in shriram 107 southeast attibele near bommasandra bangalore . Where luxury comes with affordability.Basic details:
You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balconies.T...","['1 Exhaust Fan', '1 Geyser', 'Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4.4 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area4.2 out of 5']",O88269726
SBR Minara,https://www.99acres.com/sbr-minara-whitefield-bangalore-east-npxid-r399073,SBR Minara,,,,,,,,,,,,[],"Finest 3,4,5 BHK apartments in Whitefield available for sale in SBR Minara. SBR Minara has apartments in multiple configurations, in range of 1,290 - 3,767 sqft. Apartments in this complex are available in price range of Rs. 1.3 - 3.86 Cr. SBR Minara is a RERA- registered society and PRM/KA/RERA/1251/446/PR/120922/005238 is the RERA registration number",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",399073
"2 BHK Flat in Electronic City, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-madison-heights-electronic-city-bangalore-south-1300-sqft-spid-Z89393905,Sobha Madison Heights,1.95 Crore,"₹15,000 /sqft",Built-up area: 1300 (120.77 sq.m.)  sqft,2 Bedrooms,2 Bathrooms,1 Balcony,Others,"Electronic City, Bangalore",26th   of 38 Floors,East,Jul 2028,"['Sri Sai Hospitals', 'SVVN PU College', 'National Highway 44', 'Nazareth School', 'Heelalige Station', 'Bommasandra Metro Station', 'Anthivadi Stadium', 'Infosys Golf Course', 'Kempegowda International Airport']",It's luxuries apartments comes on 26th floor Which is available from march 10th for selling pls contact us on,[],"['Centrally Air Conditioned', 'Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'False Ceiling Lighting', 'Separate entry for servant room', 'Piped-gas', 'Recently Renovated']","['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.1 out of 5', 'Green Area4.1 out of 5']",89393905
"2 BHK Flat in Volagerekallahalli, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vivansaa-aurigaa-volagerekallahalli-bangalore-east-1212-sqft-spid-T89113505,Vivansaa Aurigaa,₹90 Lac,"₹7,425 /sqft","1,212 sqft",,,,,,,,Ready To Move,[],"The flat is over 1212 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms, 1 balcony and 1 pooja room . This flat lies on the 1st level of a 7 storey building. Its a 2.5bhk flat spacious rooms .This is a ready to move project and the property is 5-10 years old. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house and lift(s), will provide a pl...",[],[],[],T89113505
"1 BHK Flat in Sarjapur, Bangalore",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-eden-park-at-the-prestige-city-sarjapur-bangalore-east-642-sqft-spid-V90654478,Eden Park at The Prestige City,₹85 Lac,"₹13,239 /sqft",642 sqft,,,,,,,,Ready To Move,[],"The flat is facing the east direction. East facing premium flat overlooking swimming pool view. The flat occupies a carpet area of 642 sq.Ft. That consists of 1 bedroom, 1 bathroom and 1 balcony. The flat has a total of 28 floors and this property is situated on 14th floor. This is a ready to move project and the property is 0-1 year old. Many of the modern amenities being offered, like lift(s)...",[],[],[],V90654478
Purva Meraki,https://www.99acres.com/purva-meraki-hsr-layout-bangalore-south-npxid-r399590,Purva Meraki,,,,,,,,,,,,[],"Spacious 3,4 BHK apartments in HSR Layout are available for sale.Check out latest property options at Purva Meraki housing society. Purva Meraki is a RERA- registered society and PRM/KA/RERA/1251/310/PR/071022/005307 is the RERA registration number. Apartments in Purva Meraki have CARPET area ranging between 1,714 - 2,406 sqft. Prices of apartments in this project, vary between Rs. 4.54 - 5.75 Cr",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Green Area4.3 out of 5']",399590
"3 BHK Flat in Chandapura, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sipani-royal-heritage-chandapura-bangalore-south-1275-sqft-spid-L89993408,Sipani Royal Heritage,95 Lac,"₹7,450 /sqft",Super Built-up area 1275(118.45 sq.m.)Carpet area: 980 sqft (91.04 sq.m.)  sqft,3 Bedrooms,2 Bathrooms,2 Balconies,,"Chandapura, Bangalore",2nd   of 14 Floors,West,Within 6 months,"['Chandapura Market', 'SRT Mall', 'Spurthy Global School', 'Edify School', 'Spurthy College', 'Vemana International School', 'Swamy Vivekananda College', 'Lorven College', 'Alliance University', 'Athreya Hospital', 'Mazumdar Shaw Medical Center', 'Vimalalaya Hospital', 'Heelalige', 'T S Royal Grand Hotel', 'Om Sai Ram Fuels']","This is a gater community , with all amenities like club houses , play areas , places for old people to walk and relax ,atm, grocery stoter and many others . All these with affordable price . 
Close to electronic city and metrostation .",[],[],"['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4 out of 5', 'Green Area3.9 out of 5']",L89993408
